Data status,Department,Organisation,Website address,Got everything I wanted,Got most of what I wanted,Got some of what I wanted,Got none of what I wanted,Very Satisfied,Satisfied,Neither satisfied nor dissatisfied,Dissatisfied,Very dissatisfied,Don't Know Satisfied,Very good ease of use,Good ease of use,Neither good nor poor ease of use,Poor ease of use,Very poor ease of use,Don't know ease of use,Very good design,Good design,Neither good nor poor design,Poor design,Very poor design,Don't know design,Very good ease of finding,Good ease of finding,Neither good not poor ease of finding,Poor ease of finding,Very poor ease of finding,Don't know ease of finding,Very good editorial,Good editorial,Neither good nor poor editorial,Poor editorial,Very poor editorial,Don't know editorial,Very good accuracy,Good accuracy,Neither good nor poor accuracy,Poor accuracy,Very poor accuracy,Don't know accuracy,Very good search,Good search,Neither good nor poor search,Poor search,Very poor search,Don't know search,Not used search,Definitely recommend,Probably recommend,Not sure recommend,Probably not recommend,Definitely not recommend,Age 16-19,Age 20-24,Age 25-34,Age 35-44,Age 45-54,Age 55-64,Age 65-74,Age 75+,Prefer not to say age,Sex male,Sex female,Prefer not to say sex,Disability yes,Disability no,Prefer not to say disability,Use Internet every day,Use Internet every two or three days,Use Internet about once a week,Use Internet about once a fortnight,Use Internet about once a month,Use Internet less often,Use Internet don't know,Unique users Apr-10,Unique users May-10,Unique users Jun-10,Unique users Jul-10,Unique users Aug-10,Unique users Sep-10,Unique users Oct-10,Unique users Nov-10,Unique users Dec-10,Unique users Jan-11,Unique Users Feb-11,Unique Users Mar-11,Yearly Unique Users,Visits Apr-10,Visits May-10,Visits Jun-10,Visits Jul-10,Visits Aug-10,Visits Sep-10,Visits Oct-10,Visits Nov-10,Visits Dec-10,Visits Jan-11,Visits Feb-11,Visits Mar-11,Two-page visits Apr-10,Two-page visits May-10,Two-page visits Jun-10,Two-page visits Jul-10,Two-page visits Aug-10,Two-page visits Sep-10,Two-page visits Oct-10,Two-page visits Nov-10,Two-page visits Dec-10,Two-page visits Jan-11,Two-page visits Feb-11,Two-page visits Mar-11,Visit duration Apr-10,Visit duration May-10,Visit duration Jun-10,Visit duration Jul-10,Visit duration Aug-10,Visit duration Sep-10,Visit duration Oct-10,Visit duration Nov-10,Visit duration Dec-10,Visit duration Jan-11,Visit duration Feb-11,Visit duration Mar-11,Page requests Apr-10,Page requests May-10,Page requests Jun-10,Page requests Jul-10,Page requests Aug-10,Page requests Sep-10,Page requests Oct-10,Page requests Nov-10,Page requests Dec-10,Page requests Jan-11,Page requests Feb-11,Page requests Mar-11,Strategy and planning costs,Design and build costs,Hosting and infrastructure costs,Content provision costs,Testing and evaluation costs,SCS ,Grade 6,Grade 7,SEO/SIO,HEO,EO,AO,AA,Other,Staff costs,Sites converged,Single-A automated accessibility,Double-A automated accessibility,Manual testing accessibility,User testing accessibility,Service availability,URL redirection,XML Sitemap,Valid HTML,Valid CSS,Consultation descriptions,Job vacancy descriptions
Received,Armed Forces,Army,www.army.mod.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412326,474366,433764,413737,403674,448981,447881,498966,397264,517646,522711,656868,4888439,598854,666044,621974,604943,590470,647270,651932,716529,563554,754956,779042,964842,268647,274365,259330,241722,239020,263878,263284,290249,219166,316887,338497,434548,434,427,423,422,428,431,434,438,434,477,535,549,5614367,5901157,5543546,5199574,5112948,5584505,5696877,6210112,4753219,6740560,7620963,9470498,0,15000,35000,37000,3788,0,0,0,0,0,0,0,0,0,164044,0,0,0,0,0,100,1,1,0,0,0,0
Received,Armed Forces,Defence Academy,da.mod.uk,49,21,15,15,40,17,12,12,19,,36,28,12,12,10,2,35,27,29,5,2,2,30,29,12,17,12,,36,27,10,12,15,,26,34,14,7,19,,29,30,8,13,15,5,,37,22,8,23,10,2,5,15,24,28,17,7,,2,69,28,3,,100,,76,12,,,5,7,,17842,15773,14075,15111,15405,14082,15779,15322,12767,16723,15339,16356,145948,39513,36904,32194,37045,35220,32589,37951,34976,32610,38946,39152,39384,16816,16249,14192,15990,15228,14011,15884,15375,12115,16183,15873,17265,615,679,756,513,630,665,541,526,553,494,458,512,323221,357895,378628,392646,492696,393122,382485,373980,407497,403959,376301,423898,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,13000,4,1,1,1,0,99.7,1,1,1,1,1,1
Received,Armed Forces,HIVE Europe,www.hive-europe.co.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23542,26300,25089,,,,,,,,,,,275252,307218,300232,,,,,,,,,,7774,8926,8336,,,,,,,,,,422,483,390,,,,,,,,,,37291,42922,41292,,,,,,,,,,0,0,75,0,0,0,0,0,0,0.16,0,0,0,0,2556,0,0,0,0,0,,0,0,0,0,0,0
Received,Armed Forces,HIVE Europe - BFG,www.bfgnet.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43524,45468,44768,48452,48604,45892,45134,42678,29407,46680,40726,44366,185823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,900,0,0,0,0,0,0,0.08,1.76,0.2,0,0,35474,0,0,0,0,0,,0,0,0,0,0,0
Received,Armed Forces,Royal Air Force (RAF),www.raf.mod.uk,46.1,34.3,15.7,3.9,37,46.4,10.2,1.6,0.9,3.9,44.6,46.8,5.4,0.9,0.5,1.8,41.8,45.6,8.6,1.6,0.6,1.8,33.9,47.5,12.7,3,0.9,2,44.2,44.8,7.3,1.1,0.7,1.9,39.1,40.4,11.1,3.1,1.7,4.6,34,40.6,11.8,2.7,1.6,9.3,,45.6,33.7,14.4,5,1.3,45.6,33.7,14.4,5,1.3,11.7,4.8,1.1,0.4,85.7,14.3,,,,,9.5,,24.1,,19.8,17.4,29.1,170345,242518,288527,401065,480886,419246,327063,381302,291106,388128,390898,271992,4174883,2235899,2862391,4365267,6135882,7035127,6364023,4998637,5400094,4550602,5583669,4567213,7022216,302016,434751,483695,670451,801265,676906,538306,704861,521800,719133,727527,558075,936,875,737,680,634,670,738,738,736,770,715,898,11047296,15703920,23795579,36555987,40609075,35352471,27089665,32274348,23508538,36113925,32909049,49456115,0,113800,68100,0,3600,0,0,0,0,1,2,1,0,0,256741,0,1,1,1,0,98.5,1,1,1,1,0,0
Received,Armed Forces,Royal Navy (royalnavy.mod.uk),www.royalnavy.mod.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326948,344273,345643,343470,283408,311657,369381,76897,64062,286528,325059,323624,2900107,495200,524682,532805,526163,434399,467491,548420,100923,93322,404764,465667,475952,318918,345282,353452,353003,284468,303672,350655,64812,58652,233095,261103,277296,543,526,503,484,518,509,488,497,536,496,445,432,3149244,3536050,3473033,3328898,2891684,3042689,3444848,631460,474747,1666561,1916606,2113828,333129,597134,194702,92553,68543,0,0,0.25,0.8,0.9,1.6,1.2,0,0,178258,0,0,0,0,0,99.5,0,1,0,0,0,0
Received,Armed Forces,Service Children's Education,www.sceschools.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80835,90231,142331,162727,96713,71977,156783,145782,150284,123965,199284,265764,,79482,101459,120345,181474,80719,67035,124893,110852,129391,105306,179453,274959,8947,12808,9128,10115,7703,7141,11782,10384,10894,9608,12050,13808,,,,,,,,,,,,,745917,657841,838543,676461,364531,412278,736818,678319,958352,789453,1024213,1072000,0,0,200,0,0,0,0,0,0,0,0,0,0,1,15500,0,0,0,0,0,,0,0,1,0,0,1
Received,Armed Forces,Sovereign Base Areas Cyprus,www.sba.mod.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984,2976,94,992,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Received,ATTGEN,Attorney General,www.attorneygeneral.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6967,11739,6519,7792,6720,6795,12103,8719,6437,9173,12151,11659,,15590,21963,15173,17103,15185,15637,20164,17022,10615,14891,18147,17473,5152,7347,4499,5146,4244,4347,4258,5353,3744,5720,6884,6330,88,92,78,80,78,80,100,106,95,109,111,115,36340,53130,33257,36878,32093,32114,45432,36779,24276,35768,41741,39299,0,0,10800,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,100,1,0,1,0,1,1
Received,ATTGEN,Crown Prosecution Service,www.cps.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98544,99268,86339,93970,89186,96594,108026,114117,148454,120818,113687,129160,,268484,265135,223210,239793,225744,232457,248506,266062,233490,281551,268624,317789,,,,,,,,,,,,,,,,,,,,,,,,,1061496,1007691,964720,973980,978700,1366767,1355378,1342040,1317994,1413631,1330988,1446202,725,23218,27954,46350,3000,0,0,0.4,0,0.75,0.8,0.3,0,0,74772,0,0,1,1,0,99.99,1,1,1,1,0,0
Received,ATTGEN,Government Legal Service,www.gls.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6081,6132,7601,14916,7147,5373,5630,5689,4112,6033,4882,6717,69787,8329,7918,9179,22735,10044,6889,6943,6790,4816,7052,5673,7974,4312,4339,6130,17023,6472,3686,3959,4035,2702,4270,3321,4416,123,123,157,228,172,133,127,141,122,129,129,136,35829,35410,49952,128037,48510,28391,29960,29607,19016,29241,23660,32543,0,0,9000,518,390,0,0,0,0,0.1,0,0.1,0,0,908,0,0,0,0,0,,0,0,0,0,0,0
Received,ATTGEN,Serious Fraud Office,www.sfo.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15231,12369,13509,13742,15197,13893,14043,13945,10906,14755,15486,23718,166358,22314,17238,18983,19269,21289,18988,19881,18718,14566,19699,21573,32547,11657,9144,9976,10057,10575,9729,10086,9422,7285,10115,10876,15840,152,145,148,142,139,135,134,168,137,132,137,126,89967,73003,78385,78905,80111,73575,78069,74989,55371,76742,80872,115413,0,326,14100,0,0,0,0,0,0,0.1,0.1,0,0,0,7468,0,1,1,0,0,99.5,1,1,1,1,0,0
Received,ATTGEN,Treasury Solicitor's Department,www.tsol.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5689,5271,4969,4793,4906,4981,5894,5927,4231,5409,5360,6243,43994,19472,17385,14811,11967,12030,12155,14711,13241,11838,13699,13355,15462,4037,3286,3932,4038,3511,3756,4707,3956,2831,3790,3892,4531,324,370,397,463,482,471,439,446,472,430,429,410,59798,56984,55609,52727,55303,56580,62081,58471,54569,59397,55569,62403,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,1432,0,0,0,0,0,99.94,0,0,0,0,1,1
Not received,ATTGEN,Bona Vacantia Division of Treasury Solicitors,www.bonavacantia.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
